NRO_RADICADO,NUMERO_EXPEDIENTE,FECHA_ACCIDENTE,ID_ZONA,GRAVEDAD,DESC_CLASE_ACCIDENTE,HORA_ACCIDENTE,AREA,SECTOR,ZONA,DISENO,ESTADO_TIEMPO,VIA_ACCID,POSIBLE_CAUSA
9155,A00000530,may/31/2017 02:45 p. m.,18,h,Choque,may/31/2017 02:45 p. m.,1,1,1,1,1,Calle 77 Sur X Carrera 50A,143
9161,A00000692,jul/23/2017 08:40 p. m.,12,h,Choque,jul/23/2017 08:40 p. m.,1,1,1,1,1,Carrera 50 X Calle 96 Sur,143
9166,A00000239,mar/10/2017 02:20 p. m.,10,d,Choque,mar/10/2017 02:20 p. m.,1,1,1,1,1,Carrera 59 X Calle 77 Sur,143
9356,A00000882,sept/18/2017 07:10 a. m.,2,h,Atropello,sept/18/2017 07:10 a. m.,1,1,1,1,1,Carrera 50 X Calle 94B Sur,409
9358,A00000880,sept/20/2017 04:20 p. m.,3,d,Choque,sept/20/2017 04:20 p. m.,1,2,1,1,1,Carrera 48 X Calle 100 Sur,143
9359,A00000886,sept/23/2017 10:30 p. m.,19,d,Choque,sept/23/2017 10:30 p. m.,1,1,1,1,1,Calle 77 Sur X Carrera 59,143
9362,A00000891,sept/22/2017 06:40 a. m.,4,d,Choque,sept/22/2017 06:40 a. m.,1,2,4,1,1,Carrera 9 X Calle 100 Sur,143
9364,A00000895,sept/26/2017 11:20 a. m.,3,h,Atropello,sept/26/2017 11:20 a. m.,1,2,1,2,1,Carrera 50 X Calle 79 Sur,143
9365,A00000897,sept/26/2017 08:10 p. m.,8,d,Choque,sept/26/2017 08:10 p. m.,1,1,1,1,1,Carrera 55 X Calle 77 Sur,143
9367,A00000899,sept/27/2017 01:00 p. m.,21,h,Caida Ocupante,sept/27/2017 01:00 p. m.,1,1,4,1,1,Calle 87 Sur X Carrera 66,145
9368,A00000898,sept/26/2017 10:00 a. m.,2,h,Choque,sept/26/2017 10:00 a. m.,1,1,1,2,1,Carrera 50 X Calle 100 Sur,102
9369,A00001000,nov/01/2017 08:11 a. m.,1,d,Choque,nov/01/2017 08:11 a. m.,1,1,1,1,1,Carrera 47 X Calle 100 Sur,143
9371,A00001009,nov/07/2017 08:40 a. m.,2,d,Choque,nov/07/2017 08:40 a. m.,1,1,1,10,1,Carrera 50 X Calle 99 Sur,143
9372,A00000971,oct/19/2017 01:30 p. m.,21,h,Choque,oct/19/2017 01:30 p. m.,1,1,1,1,1,Calle 87 Sur X Carrera 62,143
9374,A00001017,nov/09/2017 07:30 p. m.,2,d,Choque,nov/09/2017 07:30 p. m.,1,1,1,1,1,Carrera 50 X Calle 100 Sur,143
9375,A00001016,nov/08/2017 11:50 a. m.,3,d,Choque,nov/08/2017 11:50 a. m.,1,3,1,1,1,Carrera 50 X Calle 99 Sur,143
9376,A00001001,oct/31/2017 07:40 a. m.,15,d,Choque,oct/31/2017 07:40 a. m.,1,1,1,1,1,Carrera 63 X Calle 73 Sur,143
9377,A00001018,nov/09/2017 09:50 a. m.,20,d,Choque,nov/09/2017 09:50 a. m.,1,1,1,1,1,Calle 79 Sur X Carrera 62,143
9378,A00001021,nov/10/2017 05:20 a. m.,21,d,Choque,nov/10/2017 05:20 a. m.,1,1,4,1,1,Calle 87 Sur X Carrera 65,143
9382,A00000973,oct/23/2017 06:30 a. m.,2,h,Choque,oct/23/2017 06:30 a. m.,1,1,1,1,1,Carrera 50 X Calle 91 Sur,143
9385,A00001023,nov/10/2017 11:40 a. m.,2,d,Choque,nov/10/2017 11:40 a. m.,1,1,1,10,1,Calle 100 Sur X Carrera 49,143
9387,A00001025,nov/13/2017 07:30 p. m.,3,h,Choque,nov/13/2017 07:30 p. m.,1,2,4,1,1,Carrera 50 X Calle 80 Sur,143
9391,A00000983,oct/28/2017 08:10 a. m.,23,h,Choque,oct/28/2017 08:10 a. m.,1,2,1,1,1,Calle 78A Sur X Carrera 52A Sur,143
9392,A00001039,nov/19/2017 04:50 p. m.,3,h,Choque,nov/19/2017 04:50 p. m.,1,1,4,1,2,Carrera 50 X Calle 88 Sur,143
9396,A00001041,nov/17/2017 03:00 p. m.,14,d,Choque,nov/17/2017 03:00 p. m.,1,1,1,1,1,Carrera 50 X Calle 83 Sur,143
9400,A00001042,nov/19/2017 12:20 p. m.,1,d,Choque,nov/19/2017 12:20 p. m.,1,1,4,1,1,Calle 79 Sur X Carrera 61,143
9401,A00001036,nov/18/2017 12:20 p. m.,23,d,Choque,nov/18/2017 12:20 p. m.,1,1,2,10,1,Carrera 54 X Calle 75 Sur,143
9404,A00000988,oct/28/2017 02:30 p. m.,8,h,Choque,oct/28/2017 02:30 p. m.,1,1,1,2,1,Carrera 55 X Calle 79 Sur,143
9405,A00001043,nov/20/2017 06:10 a. m.,3,h,Choque,nov/20/2017 06:10 a. m.,1,2,1,1,1,Carrera 50 X Calle 91 Sur,143
9407,A00000885,sept/21/2017 08:45 p. m.,14,d,Choque,sept/21/2017 08:45 p. m.,1,1,1,1,1,Calle 83C Sur X Carrera 50,143
9408,A00000651,jul/12/2017 09:30 p. m.,5,h,Caida Ocupante,jul/12/2017 09:30 p. m.,1,1,1,1,1,Carrera 60 X Calle 95 Sur,140
9410,A00000653,jul/11/2017 12:10 a. m.,2,h,Choque,jul/11/2017 12:10 a. m.,1,1,1,1,1,Carrera 50 X Calle 48 Sur,409
9411,A00000701,jul/26/2017 06:40 a. m.,12,h,Atropello,jul/26/2017 06:40 a. m.,1,2,1,1,1,Carrera 55 X Calle 79 Sur,409
9415,A00000863,sept/11/2017 03:30 p. m.,3,h,Choque,sept/11/2017 03:30 p. m.,1,1,1,1,1,Carrera 50 X Calle 97B Sur,143
9416,A00001053,nov/23/2017 12:25 p. m.,25,h,Atropello,nov/23/2017 12:25 p. m.,1,1,1,1,1,Calle 80 Sur X Carrera 58,143
9418,A00000913,oct/03/2017 07:30 p. m.,3,h,Caida Ocupante,oct/03/2017 07:30 p. m.,1,3,1,1,1,Carrera 50 X Calle 79 Sur,143
9419,A00000916,oct/02/2017 10:00 a. m.,24,h,Caida Ocupante,oct/02/2017 10:00 a. m.,1,1,1,1,1,Carrera 62 X Calle 87 Sur,143
9421,A00000917,oct/04/2017 02:10 p. m.,2,h,Choque,oct/04/2017 02:10 p. m.,1,2,1,1,1,Carrera 50 X Calle 97B Sur,143
9424,A00000919,oct/02/2017 05:30 a. m.,16,h,Volcamiento,oct/02/2017 05:30 a. m.,1,1,1,1,1,Calle 83 Sur X Carrera 59,143
9425,A00000920,oct/02/2017 01:40 p. m.,3,d,Choque,oct/02/2017 01:40 p. m.,1,2,1,1,1,Carrera 50 X Calle 79C Sur,143
9426,A00000921,sept/29/2017 05:20 a. m.,4,h,Choque,sept/29/2017 05:20 a. m.,1,2,1,8,1,Carrera 50 X Calle 79C Sur,143
9429,A00000925,oct/06/2017 01:00 p. m.,23,h,Choque,oct/06/2017 01:00 p. m.,1,1,1,1,1,Calle 79 Sur X Carrera 52,143
9431,A00000928,oct/07/2017 01:30 a. m.,4,d,Volcamiento,oct/07/2017 01:30 a. m.,1,2,4,1,1,Carrera 48 X Calle 100 Sur,143
9440,A00001064,nov/21/2017 09:00 p. m.,24,d,Choque,nov/21/2017 09:00 p. m.,1,1,1,1,1,Calle 87 Sur X Carrera 64,143
9445,A00001059,nov/26/2017 12:10 a. m.,5,d,Choque,nov/26/2017 12:10 a. m.,1,1,1,1,1,Calle 95 Sur X Carrera 56,143
9446,A00001073,nov/26/2017 06:40 p. m.,3,h,Choque,nov/26/2017 06:40 p. m.,1,1,1,2,1,Carrera 50 X Calle 98DD Sur,143
9447,A00000961,oct/17/2017 05:00 p. m.,1,h,Choque,oct/17/2017 05:00 p. m.,1,1,1,1,1,Calle 81 Sur X Carrera 65,143
9448,A00000992,oct/31/2017 03:00 p. m.,3,h,Atropello,oct/31/2017 03:00 p. m.,1,1,1,1,2,Carrera 50 X Calle 99 Sur,409
9449,A00000914,sept/27/2017 10:00 a. m.,3,h,Choque,sept/27/2017 10:00 a. m.,1,1,1,1,1,Carrera 50 X Calle 79 Sur,143
9450,A00001022,nov/12/2017 04:50 p. m.,6,h,Choque,nov/12/2017 04:50 p. m.,1,1,1,1,1,Calle 91 Sur X Carrera 50,143
9451,A00001052,nov/22/2017 09:40 a. m.,21,d,Choque,nov/22/2017 09:40 a. m.,1,1,1,1,1,Calle 87 Sur X Carrera 62,143
9452,A00001030,nov/15/2017 08:40 a. m.,26,d,Volcamiento,nov/15/2017 08:40 a. m.,1,1,1,2,1,Calle 81 Sur X Carrera 65,143
9454,A00000924,oct/04/2017 03:00 p. m.,5,h,Choque,oct/04/2017 03:00 p. m.,2,0,1,2,1,Tramo 4 X Kilometro 0,143
9456,A00001085,nov/30/2017 07:30 a. m.,18,d,Choque,nov/30/2017 07:30 a. m.,1,1,1,1,1,Calle 77 Sur X Carrera 52,143
9457,A00001181,dic/29/2017 12:50 p. m.,1,d,Choque,dic/29/2017 12:50 p. m.,1,1,1,1,2,Carrera 60 X Calle 83A Sur,143
9458,A00001083,nov/20/2017 07:30 p. m.,2,d,Choque,nov/20/2017 07:30 p. m.,1,2,1,1,1,Carrera 48 X Calle 100 Sur,143
9167,A00000252,mar/13/2017 03:40 p. m.,2,d,Choque,mar/13/2017 03:40 p. m.,1,1,1,1,1,Carrera 48 X Calle 98 Sur,143
9168,A00000518,may/27/2017 01:40 p. m.,16,d,Choque,may/27/2017 01:40 p. m.,1,1,1,1,1,Calle 87 Sur X Carrera 55,143
9169,A00000508,may/24/2017 07:50 p. m.,2,h,Atropello,may/24/2017 07:50 p. m.,1,1,1,1,1,Carrera 48A X Calle 99 Sur,409
9170,A00000610,jun/26/2017 01:30 p. m.,19,d,Choque,jun/26/2017 01:30 p. m.,1,1,1,1,1,Carrera 54 X Calle 75B Sur,143
9171,A00000611,jun/27/2017 10:30 a. m.,9,h,Caida Ocupante,jun/27/2017 10:30 a. m.,1,1,1,1,1,Calle 75 Sur X Carrera 54,140
9172,A00000612,jun/23/2017 04:45 p. m.,13,h,Atropello,jun/23/2017 04:45 p. m.,1,1,1,1,1,Carrera 50 X Calle 97 Sur,140
9173,A00000613,jun/24/2017 02:00 p. m.,2,h,Atropello,jun/24/2017 02:00 p. m.,1,1,1,1,1,Carrera 50 X Calle 100 Sur,409
9174,A00000615,jun/29/2017 12:00 p. m.,4,h,Choque,jun/29/2017 12:00 p. m.,1,1,1,1,1,Carrera 50 X Calle 79 Sur,143
9175,A00000621,jun/29/2017 10:30 a. m.,19,h,Choque,jun/29/2017 10:30 a. m.,1,1,1,1,1,Calle 77 Sur X Carrera 55,143
9176,A00000471,may/14/2017 10:40 a. m.,3,h,Choque,may/14/2017 10:40 a. m.,1,1,1,1,1,Carrera 50 X Calle 88A Sur,143
9177,A00000626,jul/01/2017 12:50 p. m.,22,d,Choque,jul/01/2017 12:50 p. m.,1,1,1,1,1,Calle 83 Sur X Carrera 59,143
9178,A00000620,jun/29/2017 11:00 a. m.,12,h,Choque,jun/29/2017 11:00 a. m.,1,1,1,1,1,Carrera 51 X Calle 95AA Sur,143
9179,A00000628,jul/02/2017 07:30 a. m.,5,d,Choque,jul/02/2017 07:30 a. m.,1,1,1,1,1,Carrera 55 X Calle 95 Sur,143
9180,A00000629,jul/02/2017 11:15 a. m.,3,h,Choque,jul/02/2017 11:15 a. m.,1,1,1,1,1,Carrera 50 X Calle 98 Sur,143
9184,A00000632,jul/03/2017 08:30 p. m.,1,h,Choque,jul/03/2017 08:30 p. m.,1,1,1,1,1,Calle 74A Sur X Carrera 57,143
9187,A00000779,ago/22/2017 07:00 a. m.,11,h,Choque,ago/22/2017 07:00 a. m.,1,1,1,1,1,Calle 81 Sur X Carrera 66,143
9190,A00000646,jul/09/2017 05:30 p. m.,14,h,Choque,jul/09/2017 05:30 p. m.,1,1,1,1,1,Carrera 50 X Calle 80 Sur,143
9191,A00000648,jul/10/2017 11:30 a. m.,23,d,Otro,jul/10/2017 11:30 a. m.,1,1,1,1,1,Carrera 52 X Calle 79 Sur,143
9192,A00000649,jul/11/2017 08:50 p. m.,1,h,Caida Ocupante,jul/11/2017 08:50 p. m.,1,1,1,1,1,Carrera 50 X Calle 76 Sur,140
9193,A00000650,jul/13/2017 05:50 a. m.,14,h,Atropello,jul/13/2017 05:50 a. m.,1,1,1,1,1,Carrera 50 X Calle 80 Sur,502
9194,A00000652,jul/12/2017 03:20 p. m.,22,d,Choque,jul/12/2017 03:20 p. m.,1,1,1,1,1,Carrera 57 X Calle 81 Sur,143
9195,A00000656,jul/11/2017 07:00 a. m.,1,h,Caida Ocupante,jul/11/2017 07:00 a. m.,1,1,1,1,1,Carrera 60 X Calle 81 Sur,140
9196,A00000659,jul/12/2017 05:30 p. m.,18,d,Choque,jul/12/2017 05:30 p. m.,1,1,1,2,1,Calle 75AB Sur X Carrera 52D,143
9197,A00000662,jul/13/2017 06:50 a. m.,2,d,Choque,jul/13/2017 06:50 a. m.,1,1,1,1,1,Calle 100 Sur X Carrera 50,143
9198,A00000664,jul/14/2017 07:30 a. m.,23,d,Choque,jul/14/2017 07:30 a. m.,1,1,1,1,1,Calle 79 Sur X Carrera 52A,143
9199,A00000642,jul/06/2017 06:40 a. m.,3,h,Choque,jul/06/2017 06:40 a. m.,1,1,1,1,1,Carrera 50 X Calle 79 Sur,143
9200,A00000643,jul/07/2017 11:30 a. m.,1,h,Choque,jul/07/2017 11:30 a. m.,1,1,1,1,1,Carrera 62A X Calle 75A Sur,143
9201,A00000665,jul/15/2017 07:50 a. m.,23,h,Caida Ocupante,jul/15/2017 07:50 a. m.,1,1,1,1,1,Carrera 55 X Calle 79 Sur,140
9202,A00000666,jul/15/2017 08:20 a. m.,19,h,Caida Ocupante,jul/15/2017 08:20 a. m.,1,1,1,1,1,Calle 77 Sur X Carrera 60,140
9203,A00000668,jul/16/2017 10:00 p. m.,2,h,Choque,jul/16/2017 10:00 p. m.,1,1,1,1,1,Carrera 50 X Calle 99 Sur,143
9296,A00000764,ago/15/2017 11:50 a. m.,3,d,Choque,ago/15/2017 11:50 a. m.,1,1,1,1,1,Carrera 50 X Calle 100 Sur,143
9297,A00000769,ago/17/2017 09:50 a. m.,4,d,Choque,ago/17/2017 09:50 a. m.,1,1,1,1,1,Carrera 48 X Calle 79C Sur,143
9298,A00000770,ago/17/2017 03:10 p. m.,2,d,Choque,ago/17/2017 03:10 p. m.,1,1,1,1,1,Calle 100 Sur X Carrera 49D,143
9313,A00000824,sept/04/2017 06:30 a. m.,23,h,Choque,sept/04/2017 06:30 a. m.,1,1,1,1,1,Calle 79 Sur X Carrera 50,143
9314,A00000829,ago/31/2017 06:20 a. m.,3,d,Choque,ago/31/2017 06:20 a. m.,1,1,1,1,1,Carrera 50 X Calle 87 Sur,143
9315,A00000831,ago/31/2017 12:45 p. m.,14,h,Atropello,ago/31/2017 12:45 p. m.,1,1,1,1,1,Carrera 55 X Calle 80 Sur,409
9316,A00000670,jul/16/2017 04:15 p. m.,3,d,Choque,jul/16/2017 04:15 p. m.,1,1,1,1,1,Carrera 50 X Calle 95 Sur,143
9317,A00000837,sept/05/2017 12:30 p. m.,1,d,Choque,sept/05/2017 12:30 p. m.,1,1,1,2,1,Carrera 60 X Calle 77 Sur,143
9318,A00000838,sept/05/2017 06:15 p. m.,23,h,Choque,sept/05/2017 06:15 p. m.,1,1,1,1,1,Calle 80 Sur X Carrera 52,143
9319,A00000106,feb/07/2018 06:00 a. m.,2,d,Choque,feb/07/2018 06:00 a. m.,1,1,1,2,1,Carrera 50 X Calle 91 Sur,143
9324,A00001048,nov/21/2017 09:20 a. m.,3,d,Choque,nov/21/2017 09:20 a. m.,1,1,1,1,1,Carrera 50 X Calle 100 Sur,143
9325,A00000840,sept/04/2017 09:00 p. m.,27,h,Choque,sept/04/2017 09:00 p. m.,1,1,1,1,1,Carrera 54 X Calle 75AA Sur,143
9333,A00000986,oct/24/2017 07:00 a. m.,3,d,Choque,oct/24/2017 07:00 a. m.,1,1,1,1,1,Carrera 50 X Calle 10 Sur,143
9334,A00000020,ene/10/2018 07:10 a. m.,1,h,Atropello,ene/10/2018 07:10 a. m.,1,1,1,1,1,Carrera 50 X Calle 79 Sur,143
9343,A00000870,sept/15/2017 01:10 p. m.,22,d,Choque,sept/15/2017 01:10 p. m.,1,1,1,1,1,Carrera 59 X Calle 83 Sur,143
9350,A00000844,sept/04/2017 06:34 p. m.,16,h,Choque,sept/04/2017 06:34 p. m.,1,1,1,2,1,Calle 82A Sur X Carrera 56D,143
9373,A00000904,sept/26/2017 06:20 p. m.,1,h,Choque,sept/26/2017 06:20 p. m.,1,1,1,1,1,Carrera 57A X Calle 75AA Sur,143
9379,A00000955,oct/07/2017 07:50 a. m.,3,d,Choque,oct/07/2017 07:50 a. m.,1,1,1,1,1,Carrera 48 X Calle 100 Sur,143
9384,A00000966,oct/18/2017 07:00 a. m.,14,d,Choque,oct/18/2017 07:00 a. m.,1,1,1,1,1,Calle 87 Sur X Carrera 55,143
9386,A00000906,sept/27/2017 01:50 a. m.,1,h,Atropello,sept/27/2017 01:50 a. m.,1,1,1,1,1,Calle 87 Sur X Carrera 55,143
9389,A00000970,oct/19/2017 09:10 p. m.,3,d,Choque,oct/19/2017 09:10 p. m.,1,1,1,1,1,Carrera 50 X Calle 78 Sur,143
9390,A00000907,sept/27/2017 08:00 a. m.,1,d,Choque,sept/27/2017 08:00 a. m.,1,1,1,1,1,Calle 82 Sur X Carrera 60,143
9394,A00001044,nov/21/2017 09:50 a. m.,4,d,Choque,nov/21/2017 09:50 a. m.,1,1,1,2,1,Carrera 50 X Calle 79C Sur,143
9395,A00000982,sept/26/2017 03:30 p. m.,1,d,Choque,sept/26/2017 03:30 p. m.,1,1,1,1,1,Carrera 50 X Calle 79C Sur,143
9397,A00000985,oct/25/2017 02:45 p. m.,1,d,Choque,oct/25/2017 02:45 p. m.,1,1,1,1,1,Carrera 48 X Calle 100 Sur,143
9399,A00001047,nov/20/2017 05:40 p. m.,1,h,Atropello,nov/20/2017 05:40 p. m.,1,1,1,1,1,Carrera 48 X Calle 100 Sur,143
9406,A00001056,nov/22/2017 06:50 p. m.,24,d,Choque,nov/22/2017 06:50 p. m.,1,1,1,1,1,Calle 87 Sur X Carrera 65,143
9409,A00001057,nov/25/2017 10:20 p. m.,20,h,Choque,nov/25/2017 10:20 p. m.,1,1,1,2,1,Calle 80 Sur X Carrera 60,143
9437,A00000954,oct/15/2017 02:00 p. m.,19,h,Choque,oct/15/2017 02:00 p. m.,1,1,1,2,1,Calle 77 Sur X Carrera 57,143
9442,A00000957,oct/13/2017 07:40 p. m.,19,h,Choque,oct/13/2017 07:40 p. m.,1,1,1,1,1,Calle 77 Sur X Carrera 56D Sur,143
9455,A00000941,oct/04/2017 08:40 p. m.,18,h,Choque,oct/04/2017 08:40 p. m.,1,1,1,1,1,Calle 77 Sur X Carrera 50D,143
9204,A00000669,jul/16/2017 03:00 p. m.,2,h,Choque,jul/16/2017 03:00 p. m.,1,1,1,1,1,Carrera 50 X Calle 98 Sur,143
9205,A00000657,jul/12/2017 08:50 a. m.,3,h,Choque,jul/12/2017 08:50 a. m.,1,1,1,1,1,Carrera 50 X Calle 98 Sur,143
9206,A00000671,jul/16/2017 02:50 a. m.,3,d,Choque,jul/16/2017 02:50 a. m.,1,1,1,1,1,Carrera 50 X Calle 95 Sur,143
9207,A00000672,jul/13/2017 05:55 a. m.,8,d,Choque,jul/13/2017 05:55 a. m.,1,1,1,1,1,Carrera 55 X Calle 77 Sur,143
9208,A00000667,jul/16/2017 07:10 a. m.,14,h,Caida Ocupante,jul/16/2017 07:10 a. m.,1,1,1,1,1,Carrera 50 X Calle 83C Sur,140
9209,A00000673,jul/17/2017 12:00 p. m.,14,h,Caida Ocupante,jul/17/2017 12:00 p. m.,1,1,1,1,1,Calle 87 Sur X Carrera 58,140
9210,A00000674,jul/17/2017 11:00 a. m.,2,d,Choque,jul/17/2017 11:00 a. m.,1,1,1,1,1,Calle 100 Sur X Carrera 48,143
9211,A00000676,jul/18/2017 06:20 p. m.,19,d,Choque,jul/18/2017 06:20 p. m.,1,1,1,1,1,Calle 77 Sur X Carrera 59B,143
9226,A00000279,mar/20/2017 04:00 p. m.,24,h,Choque,mar/20/2017 04:00 p. m.,1,1,1,1,1,Carrera 62 X Calle 82 Sur,143
9227,A00000342,abr/06/2017 05:00 p. m.,23,d,Otro,abr/06/2017 05:00 p. m.,1,1,1,1,1,Calle 77 Sur X Carrera 52,143
9228,A00000355,abr/08/2017 03:00 p. m.,19,d,Choque,abr/08/2017 03:00 p. m.,1,1,1,2,1,Carrera 57 X Calle 77 Sur,143
9229,A00000390,abr/23/2017 12:40 a. m.,20,d,Choque,abr/23/2017 12:40 a. m.,1,1,1,1,1,Carrera 65 X Calle 80 Sur,143
9230,A00000446,may/09/2017 05:20 p. m.,22,h,Otro,may/09/2017 05:20 p. m.,1,1,1,1,1,Calle 82 Sur X Carrera 57,143
9231,A00000441,may/05/2017 02:30 p. m.,1,h,Caida Ocupante,may/05/2017 02:30 p. m.,1,1,1,1,1,Calle 82 Sur X Carrera 60,140
9233,A00000493,may/19/2017 10:20 p. m.,2,h,Caida Ocupante,may/19/2017 10:20 p. m.,1,1,1,1,1,Calle 100 Sur X Carrera 50,140
9234,A00000522,may/27/2017 11:30 a. m.,19,h,Choque,may/27/2017 11:30 a. m.,1,1,1,1,1,Carrera 55 X Calle 77 Sur,143
9235,A00000525,may/28/2017 01:50 p. m.,17,h,Choque,may/28/2017 01:50 p. m.,1,1,1,1,1,Carrera 55A X Calle 79BB Sur,143
9236,A00000535,jun/01/2017 03:50 p. m.,10,h,Atropello,jun/01/2017 03:50 p. m.,1,1,1,1,1,Calle 79 Sur X Carrera 58,409
9262,A00000706,jul/26/2017 09:20 p. m.,18,d,Choque,jul/26/2017 09:20 p. m.,1,1,1,1,1,Calle 78 Sur X Carrera 50,143
9263,A00000700,jul/24/2017 10:10 a. m.,19,d,Choque,jul/24/2017 10:10 a. m.,1,1,1,1,1,Carrera 59 X Calle 77 Sur,143
9264,A00000709,jul/29/2017 09:20 a. m.,24,d,Choque,jul/29/2017 09:20 a. m.,1,1,1,1,1,Calle 87 Sur X Carrera 66,143
9265,A00000710,jul/28/2017 03:20 p. m.,3,d,Choque,jul/28/2017 03:20 p. m.,1,1,1,1,1,Carrera 50 X Calle 79 Sur,143
9459,A00000969,oct/20/2017 03:50 p. m.,18,d,Choque,oct/20/2017 03:50 p. m.,1,1,1,7,1,Calle 77 Sur X Carrera 50D,143
9460,A00001081,nov/28/2017 03:00 p. m.,26,d,Choque,nov/28/2017 03:00 p. m.,1,1,1,2,1,Carrera 63 X Calle 80 Sur,143
9461,A00001008,nov/06/2017 06:50 p. m.,3,h,Choque,nov/06/2017 06:50 p. m.,1,1,1,1,1,Carrera 50 X Calle 80 Sur,143
9462,A00001080,nov/27/2017 08:50 a. m.,17,d,Choque,nov/27/2017 08:50 a. m.,1,1,1,1,1,Calle 87 Sur X Carrera 55,143
9463,A00001075,nov/28/2017 12:10 p. m.,2,d,Choque,nov/28/2017 12:10 p. m.,1,2,1,10,1,Carrera 48B X Calle 99 Sur,143
9464,A00000808,ago/26/2017 10:40 a. m.,17,h,Atropello,ago/26/2017 10:40 a. m.,1,1,1,1,1,Calle 80 Sur X Carrera 55,143
9465,A00001077,nov/29/2017 05:20 p. m.,3,h,Choque,nov/29/2017 05:20 p. m.,1,1,1,1,1,Carrera 50 X Calle 79 Sur,143
9466,A00001089,dic/02/2017 09:00 p. m.,19,h,Choque,dic/02/2017 09:00 p. m.,1,1,1,1,1,Calle 76B Sur X Carrera 56,143
9467,A00001055,nov/23/2017 06:30 a. m.,1,h,Choque,nov/23/2017 06:30 a. m.,1,1,1,2,1,Calle 82A Sur X Carrera 56B,123
9468,A00001049,nov/19/2017 09:30 a. m.,1,h,Choque,nov/19/2017 09:30 a. m.,1,1,1,2,1,Carrera 50 X Calle 78 Sur,123
9469,A00001090,dic/02/2017 09:30 a. m.,19,h,Choque,dic/02/2017 09:30 a. m.,1,1,1,1,1,Calle 77 Sur X Carrera 56E,143
9472,A00001175,dic/25/2017 11:20 a. m.,19,d,Choque,dic/25/2017 11:20 a. m.,1,1,1,1,1,Carrera 57 X Calle 78A Sur,143
9473,A00001092,dic/02/2017 09:40 a. m.,18,d,Choque,dic/02/2017 09:40 a. m.,1,1,1,1,1,Calle 77 Sur X Carrera 52,143
